"#","Reference","Qty","Value","Description","Manufacturer","MPN","DNP"
"1","C2","1","1nF","CAP CER 1808 1NF 2000V X7R 20%","KEMET","C1808C102MGRACAUTO",""
"2","C33","1","330nF","CAP CER 0.33UF 50V X7R 0603","KYOCERA AVX","KGM15BR71H334KT",""
"3","C1,C5","2","4.7nF","CAP CER 4700PF 50V X7R 0603","YAGEO","CC0603KRX7R9BB472",""
"4","C14,C17,C26,C28,C30,C34","6","10uF","CAP CER 10UF 25V X5R 0603","KYOCERA AVX","KGM15CR51E106KT",""
"5","C20,C21,C24,C42","4","10nF","CAP CER 10000PF 50V X7R 0603","YAGEO","CC0603KRX7R9BB103",""
"6","C22,C23,C31,C32,C39,C40","6","8pF","CAP CER 8PF 50V C0G/NPO 0603","YAGEO","CC0603DRNPO9BN8R0",""
"7","C25,C41","2","4.7uF","CAP CER 4.7UF 16V X5R 0603","YAGEO","CC0603KRX5R7BB475",""
"8","C3,C4","2","100pF","CAP CER 100PF 50V C0G/NPO 0603","YAGEO","CC0603JRNPO9BN101",""
"9","C6,C10,C15,C16,C18,C19,C27,C29,C35,C36,C37,C38,C43","13","100nF","CAP CER 0.1UF 50V X7R 0603","KYOCERA AVX","KGM15BR71H104KM",""
"10","C7,C11","2","2.2uF","CAP CER 2.2UF 50V X7R 0805","YAGEO","CC0805KKX7R9BB225",""
"11","C8,C9,C12,C13","4","22uF","CAP CER 22UF 25V X5R 0805","Samsung Electro-Mechanics","CL21A226MAYNNNE",""
"12","D1","1","NUP2105L","TVS DIODE 24VWM 44VC SOT233","onsemi","SZNUP2105LT1G",""
"13","D3","1","5.1V","DIODE ZENER 5.1V 1W SMA","Diodes Incorporated","SMAZ5V1-13-F",""
"14","D6","1","12V","DIODE ZENER 12V 1.5W SMA","onsemi","1SMA5927BT3G",""
"15","D2,D4,D5","3","GREEN","LED GREEN CLEAR CHIP SMD 0603","Lite-On Inc.","LTST-C190GKT",""
"16","FB1","1","MH1608-800Y","FERRITE BEAD 80 OHM 0603 1LN","Bourns Inc.","MH1608-800Y",""
"17","J3","1","G7LX-A88S7-BP-G/Y","1 Port RJ45 Through Hole 10/100 Base-T","Kycon, Inc.","G7LX-A88S7-BP-G/Y",""
"18","J5","1","61300511121","CONN HEADER VERT 5POS 2.54MM","Wurth Elektronik","61300511121",""
"19","J1,J2,J4","3","XT30(2+2)","Power connector XT30 PCB RA","Changzhou Amass Elec","XT30PW(2+2)-M.G.B",""
"20","L1","1","12uH","FIXED IND 12UH 2.2A 58 MOHM SMD","Abracon LLC","ASPI-6045S-120M-T",""
"21","L2","1","5.6uH","IND,3X3X1.3MM,5.6UH20%,1.8A,SHD","Bourns Inc.","SRN3015C-5R6M",""
"22","R13","1","5.23k","RES 5.23K OHM 1% 1/10W 0603","YAGEO","RC0603FR-075K23L",""
"23","R16","1","22.1k","RES 22.1K OHM 1% 1/10W 0603","YAGEO","RC0603FR-0722K1L",""
"24","R26","1","12.4k","RES 12.4K OHM 1% 1/10W 0603","YAGEO","RC0603FR-0712K4L",""
"25","R34","1","22R","RES 22 OHM 5% 1/8W 0805","YAGEO","RC0805JR-0722RL",""
"26","R1,R2","2","0R","RES 0 OHM JUMPER 0805","YAGEO","13-AC0805JR-130RLCT-ND",""
"27","R11,R14","2","100k","RES 100K OHM 1% 1/10W 0603","YAGEO","RT0603FRE13100KL",""
"28","R17,R18,R19,R20","4","49.9R","RES 49.9 OHM 1% 1/10W 0603","YAGEO","RC0603FR-0749R9L",""
"29","R21,R22","2","10R","RES SMD 10 OHM 5% 1/10W 0603","YAGEO","AC0603JR-0710RL",""
"30","R23,R24,R25,R27,R28,R31,R33","7","10k","RES 10K OHM 5% 1/10W 0603","YAGEO","RC0603JR-0710KL",""
"31","R29,R30","2","0R","RES 0 OHM JUMPER 1/10W 0603","YAGEO","RC0603JR-070RL",""
"32","R3,R4,R12,R15,R32","5","300R","RES 300 OHM 5% 1/10W 0603","YAGEO","RC0603JR-07300RL",""
"33","R5,R6,R7,R8","4","75R","RES SMD 75 OHM 5% 1/10W 0603","YAGEO","AC0603JR-0775RL",""
"34","R9,R10","2","59R","RES 59 OHM 1% 1/10W 0603","YAGEO","RC0603FR-0759RL",""
"35","SW1","1","RST","SWITCH TACTILE SPST-NO 0.05A 12V","C&K","RS-282G05A3-SM RT",""
"36","U3","1","W5500","IC CTLR 3-1 ETH TCP/IP 48LQFP","WIZnet","W5500",""
"37","U4","1","TCAN4550RGY","IC CAN FD CONTROLLER 20-VQFN","Texas Instruments","TCAN4550RGYRQ1",""
"38","U5","1","STM32F401RBT6","IC MCU 32BIT 128KB FLASH 64LQFP","STMicroelectronics","STM32F401RBT6",""
"39","U1,U2","2","LMR51430","IC REG BUCK ADJ 3A SOT23","Texas Instruments","LMR51430XDDCR",""
"40","Y2","1","40MHz","CRYSTAL 40.000 MHZ 6PF SMD","ECS Inc.","ECS-400-6-37Q-RES-TR",""
"41","Y1,Y3","2","25MHz","CRYSTAL 25 MHZ 6PF SMD","ECS Inc.","ECS-250-6-37B2-AGY-TR",""
